,Borough,Neighborhood,Latitude,Longitude,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,Cluster Labels
264,Staten Island,Staten Island_Clifton,40.61917845,-74.07264245,Food & Drink Shop,Train Station,Mexican Restaurant,Burger Joint,Deli / Bodega,2
270,Brooklyn,Brooklyn_New Lots,40.66274428,-73.88511776,Food & Drink Shop,Fried Chicken Joint,Asian Restaurant,Pizza Place,Art Gallery,2
272,Brooklyn,Brooklyn_Mill Basin,40.61597424,-73.91515392,Asian Restaurant,Pizza Place,Dessert Shop,Food & Drink Shop,Bagel Shop,2
276,Queens,Queens_Astoria Heights,40.77031739,-73.89467996,Italian Restaurant,Bus Station,Food & Drink Shop,Pizza Place,Playground,2
289,Staten Island,Staten Island_Manor Heights,40.60180958,-74.120594,Deli / Bodega,Asian Restaurant,Donut Shop,Food & Drink Shop,Bagel Shop,2
294,Brooklyn,Brooklyn_Homecrest,40.598525099999996,-73.95918459,Asian Restaurant,Bank,Donut Shop,Sandwich Place,Café,2
296,Staten Island,Staten Island_Prince's Bay,40.52626407,-74.20152556,Asian Restaurant,Pizza Place,Pet Store,Pharmacy,Bagel Shop,2
302,Bronx,Bronx_Bronxdale,40.85272298,-73.86172578,Food & Drink Shop,Italian Restaurant,Paper / Office Supplies Store,Bank,Mexican Restaurant,2
303,Bronx,Bronx_Allerton,40.86578788,-73.85931863,Pizza Place,Deli / Bodega,Food & Drink Shop,Department Store,Asian Restaurant,2
304,Bronx,Bronx_Kingsbridge Heights,40.87039239,-73.90152265,Pizza Place,Asian Restaurant,Mexican Restaurant,Deli / Bodega,Coffee Shop,2
